"word","score","n"
"supported",2,124
"confusing",-2,123
"happy",3,121
"ass",-4,63
"failed",-2,57
"kiss",2,57
"bitch",-5,42
"pay",-1,42
"wrong",-2,33
"disappointed",-2,31
"god",1,31
"love",3,31
"murder",-2,28
"hero",2,27
"ugly",-3,27
"cute",2,18
"lol",3,16
"funny",4,15
"amazing",4,13
"shit",-4,13
"support",2,13
"dear",2,12
"fucking",-4,12
"legal",1,12
"miss",-2,11
"bad",-3,10
"battle",-1,10
"damn",-4,9
"fuck",-4,9
"free",1,8
"recommend",2,8
"stop",-1,8
"worst",-3,8
"wow",4,8
"care",2,7
"chilling",-1,7
"crying",-2,7
"favorite",2,7
"marvel",3,7
"merry",3,7
"pretty",1,7
"win",4,7
"yeah",1,7
"bright",1,6
"drop",-1,6
"hilarious",2,6
"hope",2,6
"smart",1,6
"celebrate",3,5
"die",-3,5
"evil",-3,5
"haha",3,5
"hard",-1,5
"hate",-3,5
"hell",-4,5
"hurt",-2,5
"perfect",3,5
"sad",-2,5
"sentence",-2,5
"strong",2,5
"stupid",-2,5
"top",2,5
"agree",1,4
"beautiful",3,4
"crazy",-2,4
"crime",-3,4
"critic",-2,4
"drunk",-2,4
"fake",-3,4
"fan",3,4
"feeling",1,4
"fine",2,4
"fun",4,4
"huge",1,4
"loved",3,4
"mad",-3,4
"straight",1,4
"true",2,4
"worth",2,4
"anti",-1,3
"convinced",1,3
"daredevil",2,3
"defenders",2,3
"dirty",-2,3
"easy",1,3
"embarrassing",-2,3
"embarrassment",-2,3
"fight",-1,3
"fresh",1,3
"gained",2,3
"humiliation",-3,3
"lazy",-1,3
"loss",-3,3
"lost",-3,3
"popular",3,3
"adventures",2,2
"annoying",-2,2
"asshole",-4,2
"badly",-3,2
"blockbuster",3,2
"blocked",-1,2
"boring",-3,2
"broke",-1,2
"bullshit",-4,2
"cancelled",-1,2
"comedy",1,2
"cool",1,2
"criminal",-3,2
"dead",-3,2
"demand",-1,2
"dumb",-3,2
"excited",3,2
"fail",-2,2
"failing",-2,2
"fantastic",4,2
"fire",-2,2
"gift",2,2
"glorious",2,2
"grace",1,2
"heartbreaking",-3,2
"helps",2,2
"illegal",-3,2
"incompetent",-2,2
"inspired",2,2
"join",1,2
"killed",-3,2
"lame",-2,2
"leave",-1,2
"lied",-2,2
"lmao",4,2
"lmfao",4,2
"loser",-3,2
"losing",-3,2
"nice",3,2
"niggas",-5,2
"nuts",-3,2
"pain",-2,2
"pissed",-4,2
"prepared",1,2
"pretend",-1,2
"promise",1,2
"racist",-3,2
"rob",-2,2
"ruined",-2,2
"save",2,2
"thankful",2,2
"threatened",-2,2
"tired",-2,2
"united",1,2
"war",-2,2
"waste",-1,2
"wtf",-4,2
"admit",-1,1
"adopt",1,1
"adorable",3,1
"adore",3,1
"apologise",-1,1
"arrested",-3,1
"assets",2,1
"attacked",-1,1
"award",3,1
"awesome",4,1
"awful",-3,1
"blame",-2,1
"blaming",-2,1
"blocking",-1,1
"bomb",-1,1
"bored",-2,1
"bothers",-2,1
"cancel",-1,1
"cheer",2,1
"cheered",2,1
"cheers",2,1
"clever",2,1
"commitment",2,1
"complain",-2,1
"costly",-2,1
"creative",2,1
"crisis",-3,1
"cutting",-1,1
"death",-2,1
"delights",3,1
"depressing",-2,1
"desire",1,1
"desperate",-3,1
"destroy",-3,1
"destroyed",-3,1
"dick",-4,1
"disappeared",-1,1
"disappointment",-2,1
"doubt",-1,1
"douche",-3,1
"douchebag",-3,1
"dreams",1,1
"dumbass",-3,1
"empty",-1,1
"encouraged",2,1
"enjoy",2,1
"enjoying",2,1
"enrage",-2,1
"error",-2,1
"escape",-1,1
"excite",3,1
"exciting",3,1
"exclusive",2,1
"excuse",-1,1
"fabulous",4,1
"fair",2,1
"fascinating",3,1
"fired",-2,1
"flops",-2,1
"focused",2,1
"forget",-1,1
"fraud",-4,1
"freedom",2,1
"ftw",3,1
"fucked",-4,1
"furious",-3,1
"glad",3,1
"glory",2,1
"goodness",3,1
"grand",3,1
"grant",1,1
"granted",1,1
"guilt",-3,1
"ha",2,1
"hated",-3,1
"heaven",2,1
"helping",2,1
"hiding",-1,1
"honest",2,1
"horrible",-3,1
"idiot",-3,1
"ignorance",-2,1
"ill",-2,1
"impatient",-2,1
"impotent",-2,1
"increase",1,1
"increased",1,1
"indecisive",-2,1
"insecure",-2,1
"interrupting",-2,1
"jackass",-4,1
"jeopardy",-2,1
"jerk",-3,1
"jesus",1,1
"joy",3,1
"justice",2,1
"killing",-3,1
"laughing",1,1
"laughs",1,1
"launched",1,1
"legally",1,1
"liar",-3,1
"likes",2,1
"loving",2,1
"matter",1,1
"mercy",2,1
"misery",-2,1
"missing",-2,1
"mistake",-2,1
"mistakes",-2,1
"mocking",-2,1
"moody",-1,1
"moron",-3,1
"motherfucker",-5,1
"nervous",-2,1
"noble",2,1
"odd",-2,1
"offended",-2,1
"panic",-3,1
"pathetic",-2,1
"piss",-4,1
"powerful",2,1
"prevents",-1,1
"prison",-2,1
"propaganda",-2,1
"questioning",-1,1
"racism",-3,1
"reach",1,1
"reaching",1,1
"rebellion",-2,1
"regret",-2,1
"reject",-1,1
"rejected",-1,1
"rewards",2,1
"rich",2,1
"ridiculous",-3,1
"ruin",-2,1
"sappy",-1,1
"saved",2,1
"scared",-2,1
"scream",-2,1
"shame",-2,1
"share",1,1
"shitty",-3,1
"sick",-2,1
"smiling",2,1
"solution",1,1
"solutions",1,1
"stopped",-1,1
"strange",-1,1
"successful",3,1
"suck",-3,1
"suffering",-2,1
"suing",-2,1
"supporters",1,1
"supporting",1,1
"supports",2,1
"survivor",2,1
"tears",-2,1
"tits",-2,1
"torn",-2,1
"triumph",4,1
"trouble",-2,1
"unaware",-2,1
"unhealthy",-2,1
"unworthy",-2,1
"upset",-2,1
"victim",-3,1
"vulnerable",-2,1
"warning",-3,1
"weak",-2,1
"wins",4,1
"wishing",1,1
"woo",3,1
"worried",-3,1
"worrying",-3,1
"worse",-3,1
"wreck",-2,1
